feature,gain,gain_pct
y_roll72_mean,13464068.557434082,49.336316532586544
log_tracked,7301099.530086517,26.753381113272813
y_roll168_mean,1476006.9132995605,5.408524471499793
y_lag1,834462.3984298706,3.057716235464809
horizon_h,505836.9877624512,1.8535358488173368
hrs_since_peak_1000,503587.83586502075,1.845294293193333
y_roll168_max,451756.1922645569,1.65536787056941
y_roll24_mean,410362.11316871643,1.5036877613857929
y_roll3_mean,313907.7243003845,1.1502504448818054
y_roll12_mean,293555.91524887085,1.0756754166061329
y_roll72_max,291600.4464569092,1.0685100024611978
hrs_since_peak_100,270548.8666496277,0.9913708078371783
wx_pwat_lag0,210701.0027961731,0.7720705909467286
y_roll24_max,170606.53506088257,0.6251526409262147
wx_t2m_lag0,150984.92895507812,0.5532532915145397
wx_mstav_lag0,141605.22858047485,0.5188833041152451
wx_mstav_lag24,134436.82556533813,0.49261616215296944
wx_gh_4_lag24,129424.77956390381,0.47425054800388544
wx_v10_lag0,120055.58241653442,0.4399190475256292
dow_sin,115772.23948097229,0.4242236162386405
